"id","spec1","spec2","spec3","spec4","spec5","spec6","spec7","spec8","spec9","spec10","spec11","spec12","spec13","spec14","spec15","spec16","spec17","spec18","spec19","spec20","spec21","spec22","spec23","spec24","spec25","spec26","spec27","spec28","spec29","spec30","spec31","spec32","spec33","spec34","spec35","spec36","spec37","spec38","spec39","spec40","spec41","spec42","spec43","spec44","spec45","spec46","spec47","spec48","spec49","spec50","spec51","spec52","spec53","spec54","spec55","spec56","spec57","spec58","spec59","spec60","spec61","spec62","spec63","spec64","spec65","spec66","spec67","spec68","spec69","spec70","spec71","spec72","spec73","spec74","spec75","spec76","spec77","spec78","spec79","spec80","spec81","spec82","spec83","spec84","spec85","spec86","spec87","spec88","spec89","spec90","spec91","spec92","spec93","spec94","spec95","spec96","spec97","spec98","spec99","spec100","Category"
26,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,0,0,0,12,0,0,0,"Mobiles"
27,2,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,1,5,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,1,0,8,0,2,0,2,9,1,0,0,8,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,9,0,-2,0,9,1,0,0,"Mobiles"
28,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,2,6,3,1,11,0,3,1,1,0,"Mobiles"
30,2,0,0,0,0,0,4,1,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,11,0,1,2,1,0,0,1,0,3,0,6,1,0,0,0,4,0,0,0,3,2,0,0,0,4,15,0,6,0,16,0,0,1,"Mobiles"
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,2,0,0,0,"Mobiles"
32,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,16,0,1,0,0,1,1,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,2,0,24,0,0,0,"Mobiles"
33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,2,0,-1,0,2,1,0,0,"Mobiles"
34,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,1,0,0,1,1,1,0,9,0,1,0,0,0,"Mobiles"
35,2,0,0,0,0,2,4,1,0,0,0,0,2,0,0,0,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,14,2,0,0,0,2,0,0,0,"Mobiles"
36,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,0,24,0,0,0,"Mobiles"
37,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,4,0,0,0,0,2,0,0,0,"Mobiles"
38,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,3,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,6,0,0,3,0,1,0,0,0,2,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,2,13,5,0,15,0,7,0,0,0,"Mobiles"
39,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,0,3,0,2,1,2,0,"Mobiles"
41,2,0,2,2,0,0,3,0,0,2,0,1,3,0,1,1,0,0,0,2,0,3,0,10,1,0,0,0,1,0,0,2,1,0,1,0,0,6,2,0,2,1,0,0,0,0,0,1,0,1,0,0,1,3,1,0,2,0,0,0,1,0,0,2,1,4,4,0,0,0,0,0,1,0,2,5,1,7,0,0,0,0,6,0,1,0,2,0,1,0,3,3,6,0,17,0,7,0,0,0,"Mobiles"
42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,5,0,1,2,5,0,0,0,"Mobiles"
43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,14,1,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,5,7,0,-8,0,13,0,0,0,"Mobiles"
44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,1,8,0,4,1,0,0,0,1,0,0,0,1,0,0,0,0,2,5,0,0,0,6,0,0,0,"Mobiles"
45,1,0,1,0,0,0,2,0,0,2,0,4,1,0,2,2,0,1,0,2,0,3,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,1,0,7,0,1,0,4,1,0,0,3,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,17,0,3,0,1,0,"Mobiles"
46,0,2,0,1,0,0,0,0,0,0,1,0,3,2,0,3,2,7,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,0,"Mobiles"
47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,4,2,0,0,"Mobiles"
48,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,2,0,1,0,2,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,15,13,0,11,0,13,0,0,0,"Mobiles"
49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,"Mobiles"
50,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,14,0,0,0,0,1,0,0,3,0,0,0,6,1,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,3,7,4,3,0,1,0,0,0,1,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,7,13,0,3,0,16,0,0,0,"Mobiles"
52,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,3,0,0,0,0,0,0,1,1,0,1,0,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,8,0,11,0,8,0,0,0,"Mobiles"
53,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,9,0,0,0,9,0,0,0,"Mobiles"
54,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,9,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,-1,0,13,1,0,0,"Mobiles"
55,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,7,2,0,2,0,4,0,0,0,1,0,2,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,6,0,4,0,6,0,0,0,"Mobiles"
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0,"Mobiles"
58,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,10,1,3,0,0,2,0,0,5,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,12,0,1,1,1,0,0,6,2,0,0,1,0,0,0,2,1,0,0,6,2,0,0,0,0,2,0,0,1,0,0,2,3,12,0,12,0,20,0,0,0,"Mobiles"
59,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,1,0,2,0,0,5,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,4,0,0,0,2,0,0,12,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,9,58,0,0,0,66,0,0,0,"Mobiles"
60,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,5,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,1,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,15,13,0,0,0,13,0,0,2,"Mobiles"
61,0,0,0,2,0,0,3,0,0,1,1,0,0,2,0,1,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,1,0,0,3,0,0,2,0,1,0,0,0,0,3,0,0,1,0,1,0,0,2,0,0,2,0,2,0,0,1,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,1,0,2,8,9,0,11,0,9,0,1,0,"Mobiles"
62,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,1,0,0,1,0,5,0,0,2,2,0,0,1,0,0,1,0,0,0,5,11,13,0,3,0,13,0,3,0,"Mobiles"
63,0,0,0,0,1,0,6,1,0,2,0,0,13,1,0,2,0,0,0,4,0,2,1,4,0,1,0,0,2,0,0,3,1,0,0,3,1,3,3,1,2,0,0,2,0,0,10,2,2,0,0,0,1,5,4,0,0,0,0,2,0,0,0,2,1,4,8,0,2,5,1,0,1,0,0,3,0,23,0,0,0,1,1,1,2,0,2,1,0,0,3,9,10,0,12,1,13,0,1,0,"Mobiles"
65,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,4,0,1,0,0,0,"Mobiles"
66,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12,2,0,4,1,3,0,0,0,"Mobiles"
67,0,0,0,2,10,0,2,0,0,2,2,0,0,0,3,0,2,2,2,0,0,0,0,14,2,4,0,0,0,26,0,15,0,0,0,2,0,2,0,0,2,4,10,10,2,0,6,2,6,0,0,0,0,0,2,0,0,0,0,4,0,0,2,0,6,0,4,0,0,4,0,0,0,2,2,4,0,0,0,0,2,0,0,30,0,2,2,0,2,0,6,7,12,0,-4,0,22,0,0,0,"Mobiles"
68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,5,10,0,0,0,11,0,0,0,"Mobiles"
69,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,5,0,2,0,0,5,0,0,1,0,0,1,0,0,6,0,5,0,0,0,0,4,0,0,0,2,0,0,0,0,1,7,0,5,0,7,2,0,0,"Mobiles"
